accession	number_samples	species	abstract	rse_gene	rse_exon	counts_gene	counts_exon	phenotype	genes	exons	files_info
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP048957">SRP048957</a>	12	human	Whole transcriptome sequencing of K-562 cells expressing WT or mutant species of ETV6.	<a href="http://duffel.rail.bio/recount/SRP048957/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048957/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048957/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP048957/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP048957/SRP048957.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048957/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP048971">SRP048971</a>	7	human	Background: Although genome-wide association studies (GWAS) have identified hundreds of variants associated with risk of autoimmune and immune-related disorders (AID), our understanding of the diseases mechanisms is limited. In particular, more than 90% of the risk variants lie in non-coding regions, and almost 10% of these map to long non-coding RNA transcripts (lncRNAs). LncRNAs are known to show more cell-type specificity than protein-coding genes. Methods: In this study, we aimed to characterize lncRNAs and protein-coding genes located in loci associated with nine AID which have been well-defined by Immunochip analysis, by transcriptome analysis across seven peripheral blood leukocyte populations (granulocytes, monocytes, NK cells, B-cells, memory-T cells, naive CD4+ and naive CD8+ T-cells) and four cord blood derived T-helper cell populations (precursor, primary, polarized (Th1, Th2) T-helper cells). Results: We show that lncRNAs mapping to loci shared between AIDs are significantly enriched in immune cell types when compared to lncRNAs from the whole genome (a<0.005). We were not able to prioritize single cell types relevant for specific diseases, but we observed five cell types enriched (a<0.005) in five AID (NK cells for inflammatory bowel disease, juvenile idiopathic arthritis, primary biliary cirrhosis, psoriasis; memory-T and CD8+ T-cells in juvenile idiopathic arthritis, primary biliary cirrhosis, psoriasis, rheumatoid arthritis; Th0 and Th2 cells for inflammatory bowel disease, juvenile idiopathic arthritis, primary biliary cirrhosis, psoriasis, rheumatoid arthritis). Furthermore we show that co-expression analyses of lncRNAs and protein-coding genes can predict the signaling pathways in which these AID-associated lncRNAs are involved. Conclusions: The observed enrichment of lncRNA transcripts in AID loci implies an important role for lncRNAs in AID etiology and suggests that lncRNA genes should be studied in more detail to correctly interpret GWAS findings. The co-expression results strongly support a model in which the lncRNA and protein-coding genes function together in the same pathways. Overall design: 7 immune cell types	<a href="http://duffel.rail.bio/recount/SRP048971/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048971/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048971/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP048971/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP048971/SRP048971.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048971/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP048993">SRP048993</a>	12	human	Stem cell differentiation timecourse, six time points through induction from induced pluripotency (day0) towards beating cardiomyocytes, mature at day14. Accompanying study investigates careful differentiation protocols.	<a href="http://duffel.rail.bio/recount/SRP048993/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048993/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048993/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP048993/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP048993/SRP048993.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP048993/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049004">SRP049004</a>	6	human	Synthetic transcription factors can be applied to many areas of biotechnology, medicine, and basic research.  Currently, the most common method for engineering synthetic transcription factors has been based on programmable DNA-binding domains of zinc finger proteins, Transcription Activator-Like Effectors (TALEs), and most recently the CRISPR/Cas9 system. These transcription factor platforms consist of the DNA-binding domain fused to potent transcriptional activation domains, most commonly the tetramer of the minimal transactivation domain of the VP16 protein from herpes simplex virus, referred to as VP64. Although many applications are well-suited for the targeted activation of a single gene, genetic reprogramming requires the coordinated regulation of many nodes of natural gene networks as is typically performed by naturally occurring reprogramming factors. Thus we sought to combine principles from each of these approaches by attaching potent transcriptional activation domains to a natural reprogramming factor to increase the efficiency and/or rate of cell fate conversion. In this study, we evaluated the effects of fusing potent activation domains to the transcription factor MyoD, the master regulator of the skeletal myoblast lineage. In certain non-myogenic lineages, MyoD overexpression causes upregulation of the myogenic gene network and conversion to a myoblast phenotype including cell fusion into multinucleated myotubes. Compared to wild-type MyoD, the VP64-MyoD fusion protein induced greater overall reprogramming of global gene expression. This simple approach for increasing the potency of natural reprogramming factors circumvents the need for screening engineered proteins and leads to a more robust cellular reprogramming compared to treatment with the wild type transcription factor. Overall design: Human dermal fibroblasts were transduced with a single tet inducible lentivirus that expresses either WT-MyoD or VP64-MyoD in response to treatment with doxycycline. Untreated human dermal fibroblast served as the negative control. Gene expression was measured using mRNA-seq, and differential expression was calculated using DESeq. All experiments were performed in biological duplicates.	<a href="http://duffel.rail.bio/recount/SRP049004/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049004/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049004/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049004/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049004/SRP049004.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049004/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049028">SRP049028</a>	3	human	Generating human serotonergic neurons from fibroblasts	<a href="http://duffel.rail.bio/recount/SRP049028/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049028/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049028/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049028/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049028/SRP049028.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049028/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049061">SRP049061</a>	18	human	Tumor epithelial cells develop within a microenvironment consisting of extracellular matrix, growth factors, and cytokines produced by non-epithelial stromal cells. In response to paracrine signals from tumor epithelia, stromal cells modify the microenvironment to promote tumor growth and metastasis. Here, we identify interleukin (IL)-33 as an epithelial cell-derived regulator of stromal cell activation and mediator of intestinal polyposis. IL-33 expression was elevated in the tumors and serum of colorectal cancer patients and induced in the adenomatous polyps of ApcMin/+ mutant mice. Genetic and antibody suppression of IL-33 signaling in ApcMin/+ mice inhibited proliferation, induced apoptosis, and suppressed angiogenesis in polyps, which reduced both tumor number and size. In ApcMin/+ polyps, IL-33 expression localized to tumor epithelial cells and expression of the IL-33 receptor, IL1RL1, associated with two stromal cell types, namely subepithelial myofibroblasts (SEMFs) and mast cells, whose activation was previously associated with polyposis. In vitro IL-33 stimulation of human SEMFs induced the expression of extracellular matrix components and growth factors associated with intestinal tumor progression. IL-33 deficiency reduced mast cell accumulation in ApcMin/+ polyps and expression of mast cell-derived proteases and cytokines known to promote polyposis. Together, our results suggest that IL-33 is a tumor epithelial cell-derived paracrine signal that promotes polyposis through the coordinated activation of stromal cells and the formation of a reactive stroma microenvironment. Overall design: Six T-75 flasks of CCD-18Co cells were grown to 80% confluency; three were treated with rhIL-33, three were given vehicle control; cells were trypsinized and split in two--half of each flask used for sequencing and half for qPCR validation post-sequencing	<a href="http://duffel.rail.bio/recount/SRP049061/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049061/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049061/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049061/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049061/SRP049061.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049061/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049063">SRP049063</a>	16	human	BACKGROUND & AIMS- More frequent interaction of bacteria with the colonic epithelium is associated with ulcerative colitis (UC).  The identities of all proteins which promote bacterial clearance in colonic epithelial cells are unknown.  Previously, we discovered that dCAP-D3 (Chromosome Associated Protein-D3), regulates responses to bacterial infection.  We examined whether CAP-D3 promotes bacterial clearance in human colonic epithelium. METHODS- Clearance of Salmonella or adherent-invasive Escherichia coli LF82 was assessed by gentamycin protection assays in HT-29 and Caco-2 cells expressing CAP-D3 shRNA.  CAP-D3 levels in colonic epithelial cells from healthy and UC patient tissues were analyzed by immunoblot.  RNA-sequencing identified bacterially-induced CAP-D3 target genes.  The role of CAP-D3 target genes in bacterial clearance was analyzed by gentamycin protection assays, immunofluorescent staining, and by using pharmacologic inhibitors. RESULTS- CAP-D3 expression was reduced in colonic epithelial cells from UC patients with active disease. Reduction of CAP-D3 expression inhibited autophagy and decreased intracellular bacterial clearance.  The components of the heterodimeric SLC7A5/SLC3A2 amino acid transporter were identified as CAP-D3 target genes; their levels increased in infected, CAP-D3 deficient cell lines and in cells from UC patients.  In HT-29 cells, this resulted in earlier SLC7A5 recruitment to Salmonella-containing vacuoles, increased mTOR activity, and enhanced bacterial survival.  Inhibition of SLC7A5/SLC3A2 or mTOR activity rescued the bacterial clearance defect in CAP-D3 deficient cells. CONCLUSIONS- CAP-D3 attenuates amino acid transporter transcription to promote bacterial autophagy in colon epithelial cells.  CAP-D3 protein levels are decreased in patients with active UC, suggesting that CAP-D3 is a potential therapeutic target to restore mucosal homeostasis in UC patients. Overall design: Three RNA samples from 3 independent experiments including timepoints taken at 0, 0.5 and 7 hours post-infection were analyzed on a bioanalyzer for quality; one of the 0.5 hour post-infection samples was excluded at this time due to poor RNA purity.  Directional, cDNA libraries made from cellular mRNAs were generated from the other 8 samples and sequenced (paired-end sequencing of 100 bp reads) in the Genomics Core at the University of Chicago on an Illumina HiSeq2000.	<a href="http://duffel.rail.bio/recount/SRP049063/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049063/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049063/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049063/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049063/SRP049063.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049063/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049068">SRP049068</a>	29	human	A panel of 29 melanoma cell lines were gene expression profiled by RNA-Seq. Overall design: mRNA profiles of 29 melanoma cell lines	<a href="http://duffel.rail.bio/recount/SRP049068/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049068/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049068/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049068/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049068/SRP049068.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049068/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049090">SRP049090</a>	12	human	Characterization of the selectivity of SMN splicing modifiers in SMA type I fibroblasts by RNASeq Overall design: In total 12 samples were analyzed, divided into four distinct groups (treated with SMN-C3 @ 500 nM; controls for SMN-C3; treated with SMN-C1 @ 100 nM; controls for SMN-C1) containing 3 replicates each.	<a href="http://duffel.rail.bio/recount/SRP049090/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049090/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049090/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049090/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049090/SRP049090.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049090/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049097">SRP049097</a>	54	human	Leiomyosarcoma (LMS) is a malignant neoplasm with smooth muscle differentiation, and there are three molecular subtypes of LMS which have been defined previously by our lab. To further validate these subtypes and identify potential therapeutic targets in each subtype, we profiled the LMS cases from each subtype with RNA-Seq technology. Overall design: 8 LMS cases from subtype I, 6 cases from subtype II, 3 cases from subtype III and 7 cases of normal tissues, were selected for RNA-Seq. Then the expression levels and potential mutations were analyzed on these cases.	<a href="http://duffel.rail.bio/recount/SRP049097/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049097/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049097/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049097/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049097/SRP049097.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049097/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049156">SRP049156</a>	5	human	Summary: DNA methylation can be abnormally regulated in human disease and associated with effects on gene transcription that appear to be causally related to pathogenesis.  The potential to use pharmacological agents that reverse this dysregulation is therefore an attractive possibility.  To test how 5-aza-2’-deoxycytidine (5-aza-CdR) influences the genome therapeutically, we exposed non-malignant cells in culture to the agent and used genome-wide assays to assess the cellular response.  We found that cells allowed to recover from 5-aza-CdR treatment only partially recover DNA methylation levels, retaining an epigenetic “imprint” of drug exposure.  We show very limited transcriptional responses to demethylation of not only protein-coding genes but also loci encoding non-coding RNAs, with a limited proportion of the induced genes acquiring new promoter activation within gene bodies.  The data revealed an uncoupling of DNA methylation effects at promoters, with demethylation mostly unaccompanied by transcriptional changes.  The limited panel of genes induced by 5-aza-CdR resembles those activated in other human cell types exposed to the drug, and represents loci targeted for Polycomb-mediated silencing in stem cells, suggesting a model for the therapeutic effects of the drug.  Our results do not support the hypothesis of DNA methylation having a predominant role to regulate transcriptional noise in the genome, and indicate that DNA methylation acts only as part of a larger complex system of transcriptional regulation.  The targeting of 5-aza-CdR effects with its clastogenic consequences to euchromatin raises concerns that the use of 5-aza-CdR has innate tumorigenic consequences, requiring its cautious use in diseases involving epigenetic dysregulation. Overall Design: mRNA profile of 5 different samples of HEK 293T cells treated with 5-aza-CdR	<a href="http://duffel.rail.bio/recount/SRP049156/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049156/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049156/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049156/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049156/SRP049156.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049156/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049168">SRP049168</a>	3	human	Quantitative profiling of initiation ribosomes in vivo	<a href="http://duffel.rail.bio/recount/SRP049168/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049168/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049168/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049168/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049168/SRP049168.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049168/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049203">SRP049203</a>	14	human	We characterized the gene expression differences in mDA neurons from all PD (Parkinson's disease) cases (6 independent samples) and controls (8 independent samples), identifying 1,028 differentially expressed genes making up the PD expression signature. Strikingly, MAOB gene was identified as significantly differentially expressed (p = 0.046). The heat map clearly differentiates cases from controls, where interestingly most differentially expressed genes had lower expression in PD cases compared to controls. In the clustering, the RNA expression pattern of the control (C2) with a family history of PD located close to the PD expression signature suggested a susceptibility to PD. Overall design: RNA was isolated from FAC-sorted cells of 14 samples (biological duplicates for each cell line, 7 cell lines in total) using RNeasy Micro Kit (QIAGEN). Quality control of the RNA was carried out with the Agilent Bio-analyzer, Qubit 2.0 at the MPSR of Columbia University. 100 ng of RNA with RIN = 9 were used for generating mRNA-focused libraries using TruSeq RNA Sample Preparation Kit v2 and sequencing on an Illumina 2000/2500 V3 Instrument offered by the Columbia Genome Center.	<a href="http://duffel.rail.bio/recount/SRP049203/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049203/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049203/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049203/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049203/SRP049203.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049203/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049237">SRP049237</a>	6	human	Identifying the interaction partners of non-coding RNAs is essential for elucidating their functions. We have developed an approach, termed microRNA-cross-linking and immunoprecipitation (miR-CLIP), using pre-miRNAs modified with psoralen and biotin to capture their targets in cells. Photo-cross-linking and Argonaute 2-immunopurification followed by streptavidin affinity-purification of probe-linked RNAs provided selectivity in the capture of targets, identified by deep-sequencing. MiR-CLIP with pre-miR-106a, a miR-17-5p family member, identified hundreds of putative targets in HeLa cells, many carrying conserved sequences complementary to the miRNA seed but also many that were not predicted computationally. MiR-106a overexpression experiments confirmed that miR-CLIP captured functional targets, including H19, a long-non-coding RNA that is expressed during skeletal muscle cell differentiation. We showed that miR-17-5p family members bind H19 in HeLa cells and myoblasts. During myoblast differentiation levels of H19, miR-17-5p family members and mRNA targets changed in a manner suggesting that H19 acts as a sponge for these miRNAs. Overall design: Two replicates of three cDNA libraries were submitted to deep sequencing: a sample from RNA-7-transfected cells; a sample from pre-miR-106a transfected cells; and a control sample.	<a href="http://duffel.rail.bio/recount/SRP049237/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049237/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049237/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049237/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049237/SRP049237.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049237/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049238">SRP049238</a>	4	human	Identifying the interaction partners of non-coding RNAs is essential for elucidating their functions. We have developed an approach, termed microRNA-cross-linking and immunoprecipitation (miR-CLIP), using pre-miRNAs modified with psoralen and biotin to capture their targets in cells. Photo-cross-linking and Argonaute 2-immunopurification followed by streptavidin affinity-purification of probe-linked RNAs provided selectivity in the capture of targets, identified by deep-sequencing. MiR-CLIP with pre-miR-106a, a miR-17-5p family member, identified hundreds of putative targets in HeLa cells, many carrying conserved sequences complementary to the miRNA seed but also many that were not predicted computationally. MiR-106a overexpression experiments confirmed that miR-CLIP captured functional targets, including H19, a long-non-coding RNA that is expressed during skeletal muscle cell differentiation. We showed that miR-17-5p family members bind H19 in HeLa cells and myoblasts. During myoblast differentiation levels of H19, miR-17-5p family members and mRNA targets changed in a manner suggesting that H19 acts as a sponge for these miRNAs. Overall design: Two replicates of two cDNA libraries were submitted to deep sequencing: a sample from siH19-transfected cells and a control sample.	<a href="http://duffel.rail.bio/recount/SRP049238/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049238/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049238/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049238/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049238/SRP049238.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049238/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049264">SRP049264</a>	8	human	Mutations in the gene encoding the transcription factor forkhead box P1 or FOXP1 occur in patients with neurodevelopmental disorders, including autism. However, the function of FOXP1 in the brain remains mostly unknown. Here, we identify the gene expression program regulated by FoxP1 in both human neural cells and mouse brain and demonstrate a conserved role for FOXP1 transcriptional regulation of autism and Fragile X Mental Retardation Protein (FMRP) mediated pathways. Coexpression networks support a role for Foxp1 in neuronal activity, and we show that Foxp1 is necessary for neuronal excitability. Using a Foxp1 mouse model, we observe defects in ultrasonic vocalizations. This behavioral phenotype is reflected at the genomic level as striatal Foxp1-regulated overlap with genes known to be important in rodent vocalizations. These data support an integral role for FOXP1 in regulating signaling pathways vulnerable in developmental disorders and the specific regulation of pathways important for vocal communication. Overall design: We carried out RNA-sequencing (RNA-seq) and ChIP-sequencing of human neural progenitors cells. We carried out RNA-sequencing (RNA-seq) of mouse striatal tissue, mouse hippocampal tissue and mouse cortical tissue. For the RNA-seq, four indipendent replicates were used for the neural progenitor cells and mouse tissues. For the Chip-seq, a single neural progenitor cell line was used.	<a href="http://duffel.rail.bio/recount/SRP049264/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049264/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049264/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049264/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049264/SRP049264.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049264/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP049333">SRP049333</a>	4	human	Patient specific therapy is emerging as an important possibility for many cancer patients.  However, to identify such therapies it is essential to determine the genomic and transcriptional alterations present in one tumor relative to control samples. This presents a challenge since use of a single sample precludes many standard statistical analysis techniques.  We reasoned that one means of addressing this issue is by comparing transcriptional changes in one tumor with those observed in a large cohort of patients analyzed by The Cancer Genome Atlas (TCGA).  To test this directly, we devised a bioinformatics pipeline to identify differentially expressed genes in tumors resected from patients suffering from the most common malignant adult brain tumor, glioblastoma (GBM).  We performed RNA sequencing on tumors from individual GBM patients and filtered the results through the TCGA database in order to identify possible gene networks that are overrepresented in GBM samples relative to controls.  Importantly, we demonstrate that hypergeometric-based analysis of gene pairs identifies gene networks that validate experimentally.  These studies identify a putative workflow for uncovering differentially expressed patient specific genes and gene networks for GBM and other cancers. Overall design: RNAseq on 2 gliosblastoma samples and 2 epileptic samples	<a href="http://duffel.rail.bio/recount/SRP049333/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049333/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049333/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049333/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP049333/SRP049333.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP049333/files_info.tsv">link</a>
